Name,Date,Température,hémudité
Adrar,2021/7/1,39.1,8.25
Adrar,2021/7/2,38.72,7.25
Adrar,2021/7/3,39.22,7.5
Adrar,2021/7/4,40.21,7.81
Adrar,2021/7/5,39.34,8.31
Adrar,2021/7/6,39.73,7.19
Adrar,2021/7/7,38.55,10.12
Adrar,2021/7/8,38.23,12.88
Adrar,2021/7/9,37.32,13.25
Adrar,2021/7/10,38.58,12.88
Adrar,2021/7/11,38.97,14.44
Adrar,2021/7/12,37.85,16.19
Adrar,2021/7/13,38.64,11.88
Adrar,2021/7/14,34.84,24.44
Adrar,2021/7/15,36.47,24.94
Adrar,2021/7/16,36.79,21.62
Adrar,2021/7/17,35.03,26.19
Adrar,2021/7/18,35.16,22.19
Adrar,2021/7/19,35.74,18.69
Adrar,2021/7/20,35.3,19.75
Adrar,2021/7/21,34.58,21.5
Adrar,2021/7/22,35.46,21.75
Adrar,2021/7/23,35.47,21.31
Adrar,2021/7/24,35.36,15.75
Adrar,2021/7/25,35.3,12.56
Adrar,2021/7/26,34.58,12.75
Adrar,2021/7/27,34.94,14.25
Adrar,2021/7/28,34.93,16.62
Adrar,2021/7/29,34.76,14.38
Adrar,2021/7/30,35.78,11.75
Adrar,2021/7/31,36.72,11.69
Adrar,2021/7/31,36.61,2.75

Chlef,2021/7/1,11.66,27.23
Chlef,2021/7/2,10.07,27.94
Chlef,2021/7/3,8.91,29.75
Chlef,2021/7/4,7.14,29.16
Chlef,2021/7/5,7.26,30.26
Chlef,2021/7/6,8.0,29.8
Chlef,2021/7/7,10.25,27.59
Chlef,2021/7/8,12.63,27.62
Chlef,2021/7/9,12.39,29.78
Chlef,2021/7/10,11.66,31.3
Chlef,2021/7/11,9.28,35.47
Chlef,2021/7/12,8.97,30.96
Chlef,2021/7/13,10.56,26.74
Chlef,2021/7/14,9.16,26.08
Chlef,2021/7/15,10.74,26.4
Chlef,2021/7/16,9.22,27.48
Chlef,2021/7/17,7.75,30.48
Chlef,2021/7/18,9.7,27.94
Chlef,2021/7/19,8.85,28.87
Chlef,2021/7/20,10.13,28.88
Chlef,2021/7/21,8.0,31.9
Chlef,2021/7/22,9.03,31.3
Chlef,2021/7/23,8.3,33.38
Chlef,2021/7/24,7.69,34.62
Chlef,2021/7/25,7.02,30.69
Chlef,2021/7/26,10.25,27.12
Chlef,2021/7/27,12.45,28.26
Chlef,2021/7/28,11.6,30.05
Chlef,2021/7/29,11.72,30.51
Chlef,2021/7/30,10.62,33.83
Chlef,2021/7/31,7.69,31.09

Laghouat,2021/7/1,13.56,35.47
Laghouat,2021/7/2,16.0,35.23
Laghouat,2021/7/3,13.88,35.38
Laghouat,2021/7/4,15.25,34.91
Laghouat,2021/7/5,12.38,34.88
Laghouat,2021/7/6,9.69,35.8
Laghouat,2021/7/7,16.94,34.08
Laghouat,2021/7/8,20.44,32.97
Laghouat,2021/7/9,12.69,33.97
Laghouat,2021/7/10,12.5,35.24
Laghouat,2021/7/11,13.0,36.37
Laghouat,2021/7/12,16.56,35.23
Laghouat,2021/7/13,18.62,32.48
Laghouat,2021/7/14,32.69,29.71
Laghouat,2021/7/15,24.62,31.36
Laghouat,2021/7/16,26.69,32.32
Laghouat,2021/7/17,19.0,32.0
Laghouat,2021/7/18,21.94,32.44
Laghouat,2021/7/19,27.19,29.65
Laghouat,2021/7/20,22.31,30.15
Laghouat,2021/7/21,21.19,30.65
Laghouat,2021/7/22,19.75,32.37
Laghouat,2021/7/23,17.31,32.83
Laghouat,2021/7/24,19.88,32.88
Laghouat,2021/7/25,17.88,33.62
Laghouat,2021/7/26,23.19,31.63
Laghouat,2021/7/27,22.31,31.13
Laghouat,2021/7/28,15.44,32.22
Laghouat,2021/7/29,14.5,33.48
Laghouat,2021/7/30,12.5,34.26
Laghouat,2021/7/31,17.5,34.57

Oum El Bouaghi,2021/7/1,7.26,30.31
Oum El Bouaghi,2021/7/2,7.39,30.94
Oum El Bouaghi,2021/7/3,7.02,31.62
Oum El Bouaghi,2021/7/4,6.23,32.01
Oum El Bouaghi,2021/7/5,6.9,29.69
Oum El Bouaghi,2021/7/6,6.84,32.65
Oum El Bouaghi,2021/7/7,8.18,30.62
Oum El Bouaghi,2021/7/8,9.03,28.82
Oum El Bouaghi,2021/7/9,10.13,28.54
Oum El Bouaghi,2021/7/10,8.36,30.62
Oum El Bouaghi,2021/7/11,7.26,30.87
Oum El Bouaghi,2021/7/12,7.26,33.43
Oum El Bouaghi,2021/7/13,9.89,27.53
Oum El Bouaghi,2021/7/14,9.52,23.19
Oum El Bouaghi,2021/7/15,9.22,25.83
Oum El Bouaghi,2021/7/16,9.77,23.55
Oum El Bouaghi,2021/7/17,8.73,22.82
Oum El Bouaghi,2021/7/18,8.79,23.12
Oum El Bouaghi,2021/7/19,9.03,24.2
Oum El Bouaghi,2021/7/20,8.91,25.99
Oum El Bouaghi,2021/7/21,8.3,26.83
Oum El Bouaghi,2021/7/22,7.26,27.77
Oum El Bouaghi,2021/7/23,7.63,29.89
Oum El Bouaghi,2021/7/24,7.08,31.98
Oum El Bouaghi,2021/7/25,7.39,32.48
Oum El Bouaghi,2021/7/26,6.23,30.51
Oum El Bouaghi,2021/7/27,6.35,29.86
Oum El Bouaghi,2021/7/28,6.23,31.72
Oum El Bouaghi,2021/7/29,7.02,32.01
Oum El Bouaghi,2021/7/30,6.84,32.85
Oum El Bouaghi,2021/7/31,6.35,33.21

Batna,2021/7/1,22.25,30.37
Batna,2021/7/2,22.38,30.75
Batna,2021/7/3,21.75,30.89
Batna,2021/7/4,23.0,30.01
Batna,2021/7/5,24.62,29.28
Batna,2021/7/6,24.31,30.29
Batna,2021/7/7,28.06,29.51
Batna,2021/7/8,33.06,27.58
Batna,2021/7/9,36.75,27.45
Batna,2021/7/10,28.31,29.72
Batna,2021/7/11,28.62,29.48
Batna,2021/7/12,25.81,29.54
Batna,2021/7/13,37.06,27.15
Batna,2021/7/14,48.81,23.19
Batna,2021/7/15,42.19,24.97
Batna,2021/7/16,44.12,24.56
Batna,2021/7/17,40.5,22.55
Batna,2021/7/18,42.44,22.62
Batna,2021/7/19,42.62,23.81
Batna,2021/7/20,42.88,24.6
Batna,2021/7/21,37.75,25.18
Batna,2021/7/22,35.06,26.4
Batna,2021/7/23,34.19,27.06
Batna,2021/7/24,29.94,28.37
Batna,2021/7/25,28.31,28.56
Batna,2021/7/26,24.62,26.57
Batna,2021/7/27,26.88,26.3
Batna,2021/7/28,28.19,27.13
Batna,2021/7/29,27.88,28.15
Batna,2021/7/30,23.19,29.83
Batna,2021/7/31,22.38,30.05

Béjaïa,2021/7/1,23.6,77.12
Béjaïa,2021/7/2,24.65,76.81
Béjaïa,2021/7/3,25.84,73.06
Béjaïa,2021/7/4,26.33,67.88
Béjaïa,2021/7/5,25.98,71.44
Béjaïa,2021/7/6,27.43,65.31
Béjaïa,2021/7/7,26.8,64.62
Béjaïa,2021/7/8,25.28,81.69
Béjaïa,2021/7/9,24.94,76.38
Béjaïa,2021/7/10,25.16,74.69
Béjaïa,2021/7/11,27.7,61.31
Béjaïa,2021/7/12,28.83,57.06
Béjaïa,2021/7/13,25.01,75.06
Béjaïa,2021/7/14,24.05,69.69
Béjaïa,2021/7/15,24.69,70.44
Béjaïa,2021/7/16,24.48,68.12
Béjaïa,2021/7/17,25.12,63.12
Béjaïa,2021/7/18,25.48,63.38
Béjaïa,2021/7/19,25.53,69.06
Béjaïa,2021/7/20,25.87,73.5
Béjaïa,2021/7/21,27.28,66.44
Béjaïa,2021/7/22,28.0,63.0
Béjaïa,2021/7/23,29.87,55.69
Béjaïa,2021/7/24,31.83,47.81
Béjaïa,2021/7/25,28.44,65.44
Béjaïa,2021/7/26,26.48,78.19
Béjaïa,2021/7/27,26.4,79.69
Béjaïa,2021/7/28,28.15,70.31
Béjaïa,2021/7/29,28.12,70.44
Béjaïa,2021/7/30,29.19,63.62
Béjaïa,2021/7/31,29.36,62.25

Biskra,2021/7/1,38.31,13.38
Biskra,2021/7/2,37.48,10.0
Biskra,2021/7/3,37.89,13.12
Biskra,2021/7/4,38.15,11.62
Biskra,2021/7/5,37.53,12.19
Biskra,2021/7/6,35.11,20.94
Biskra,2021/7/7,35.95,19.06
Biskra,2021/7/8,35.82,19.12
Biskra,2021/7/9,34.9,20.69
Biskra,2021/7/10,37.42,16.5
Biskra,2021/7/11,37.85,18.94
Biskra,2021/7/12,36.36,17.62
Biskra,2021/7/13,35.22,21.56
Biskra,2021/7/14,31.58,29.19
Biskra,2021/7/15,30.65,30.75
Biskra,2021/7/16,33.08,25.69
Biskra,2021/7/17,31.26,25.56
Biskra,2021/7/18,32.63,24.12
Biskra,2021/7/19,31.9,26.0
Biskra,2021/7/20,32.01,26.38
Biskra,2021/7/21,32.06,28.69
Biskra,2021/7/22,33.04,26.69
Biskra,2021/7/23,33.01,25.19
Biskra,2021/7/24,33.56,23.31
Biskra,2021/7/25,34.73,19.19
Biskra,2021/7/26,33.96,13.81
Biskra,2021/7/27,33.12,17.88
Biskra,2021/7/28,32.41,23.0
Biskra,2021/7/29,33.51,21.12
Biskra,2021/7/30,35.04,14.56
Biskra,2021/7/31,36.8,14.12

Béchar,2021/7/1,35.84,12.44
Béchar,2021/7/2,36.33,12.62
Béchar,2021/7/3,36.4,9.56
Béchar,2021/7/4,36.81,10.06
Béchar,2021/7/5,36.15,8.56
Béchar,2021/7/6,37.08,11.5
Béchar,2021/7/7,36.64,15.81
Béchar,2021/7/8,35.16,16.81
Béchar,2021/7/9,34.99,10.12
Béchar,2021/7/10,34.76,11.12
Béchar,2021/7/11,34.79,11.38
Béchar,2021/7/12,37.1,10.19
Béchar,2021/7/13,36.3,18.56
Béchar,2021/7/14,35.94,11.88
Béchar,2021/7/15,36.33,10.12
Béchar,2021/7/16,36.58,8.94
Béchar,2021/7/17,37.01,10.62
Béchar,2021/7/18,36.16,21.5
Béchar,2021/7/19,33.56,14.81
Béchar,2021/7/20,33.9,19.62
Béchar,2021/7/21,33.77,16.44
Béchar,2021/7/22,34.52,16.0
Béchar,2021/7/23,34.98,14.44
Béchar,2021/7/24,36.15,13.12
Béchar,2021/7/25,35.73,20.62
Béchar,2021/7/26,35.26,16.5
Béchar,2021/7/27,34.33,13.25
Béchar,2021/7/28,34.51,12.31
Béchar,2021/7/29,34.69,12.5
Béchar,2021/7/30,34.98,12.94
Béchar,2021/7/31,34.85,13.06

Blida,2021/7/1,26.48,54.88
Blida,2021/7/2,26.96,52.88
Blida,2021/7/3,29.32,40.81
Blida,2021/7/4,29.19,34.88
Blida,2021/7/5,30.14,29.25
Blida,2021/7/6,30.51,33.0
Blida,2021/7/7,27.93,45.19
Blida,2021/7/8,25.55,69.0
Blida,2021/7/9,27.05,58.69
Blida,2021/7/10,28.66,50.56
Blida,2021/7/11,32.58,33.12
Blida,2021/7/12,32.3,28.94
Blida,2021/7/13,25.62,59.19
Blida,2021/7/14,23.95,57.06
Blida,2021/7/15,24.79,61.44
Blida,2021/7/16,24.74,55.0
Blida,2021/7/17,26.87,38.75
Blida,2021/7/18,27.58,38.88
Blida,2021/7/19,26.73,46.44
Blida,2021/7/20,27.31,45.62
Blida,2021/7/21,29.98,33.81
Blida,2021/7/22,30.96,32.38
Blida,2021/7/23,31.55,29.75
Blida,2021/7/24,34.11,25.81
Blida,2021/7/25,31.0,35.75
Blida,2021/7/26,27.29,49.81
Blida,2021/7/27,27.27,60.0
Blida,2021/7/28,28.74,47.44
Blida,2021/7/29,29.94,45.25
Blida,2021/7/30,32.07,34.38
Blida,2021/7/31,32.22,31.31

Bouira,2021/7/1,27.26,50.44
Bouira,2021/7/2,28.12,46.5
Bouira,2021/7/3,29.99,39.56
Bouira,2021/7/4,29.9,31.31
Bouira,2021/7/5,30.88,27.0
Bouira,2021/7/6,31.87,28.31
Bouira,2021/7/7,28.97,37.5
Bouira,2021/7/8,26.14,62.19
Bouira,2021/7/9,27.99,53.25
Bouira,2021/7/10,29.65,44.44
Bouira,2021/7/11,33.81,28.69
Bouira,2021/7/12,33.33,24.94
Bouira,2021/7/13,26.09,54.69
Bouira,2021/7/14,23.74,55.81
Bouira,2021/7/15,25.58,57.12
Bouira,2021/7/16,24.68,52.56
Bouira,2021/7/17,26.3,38.81
Bouira,2021/7/18,27.26,37.31
Bouira,2021/7/19,26.57,43.44
Bouira,2021/7/20,27.04,47.06
Bouira,2021/7/21,29.73,31.62
Bouira,2021/7/22,31.42,29.06
Bouira,2021/7/23,32.38,26.25
Bouira,2021/7/24,34.75,22.62
Bouira,2021/7/25,32.28,28.56
Bouira,2021/7/26,28.27,45.62
Bouira,2021/7/27,28.64,50.56
Bouira,2021/7/28,30.24,36.06
Bouira,2021/7/29,31.22,32.69
Bouira,2021/7/30,33.15,26.25
Bouira,2021/7/31,32.93,28.31

Tamanrasset,2021/7/1,27.12,13.69
Tamanrasset,2021/7/2,27.43,15.38
Tamanrasset,2021/7/3,26.89,12.56
Tamanrasset,2021/7/4,27.54,11.5
Tamanrasset,2021/7/5,29.09,12.25
Tamanrasset,2021/7/6,30.63,12.19
Tamanrasset,2021/7/7,29.9,10.06
Tamanrasset,2021/7/8,28.04,15.0
Tamanrasset,2021/7/9,27.0,27.31
Tamanrasset,2021/7/10,27.7,28.44
Tamanrasset,2021/7/11,26.83,16.38
Tamanrasset,2021/7/12,28.21,13.38
Tamanrasset,2021/7/13,27.4,12.94
Tamanrasset,2021/7/14,27.56,17.31
Tamanrasset,2021/7/15,27.72,15.5
Tamanrasset,2021/7/16,27.73,17.38
Tamanrasset,2021/7/17,28.26,17.75
Tamanrasset,2021/7/18,30.02,13.94
Tamanrasset,2021/7/19,30.01,16.25
Tamanrasset,2021/7/20,30.31,16.25
Tamanrasset,2021/7/21,27.37,34.62
Tamanrasset,2021/7/22,27.35,39.69
Tamanrasset,2021/7/23,27.62,37.62
Tamanrasset,2021/7/24,27.57,29.69
Tamanrasset,2021/7/25,27.47,31.56
Tamanrasset,2021/7/26,27.48,29.44
Tamanrasset,2021/7/27,26.63,27.5
Tamanrasset,2021/7/28,27.34,30.69
Tamanrasset,2021/7/29,26.3,43.06
Tamanrasset,2021/7/30,27.12,31.5
Tamanrasset,2021/7/31,27.93,23.44

Tébessa,2021/7/1,31.3,24.06
Tébessa,2021/7/2,30.69,26.31
Tébessa,2021/7/3,30.01,32.12
Tébessa,2021/7/4,31.4,26.81
Tébessa,2021/7/5,28.22,31.94
Tébessa,2021/7/6,31.43,29.25
Tébessa,2021/7/7,31.86,27.94
Tébessa,2021/7/8,29.42,35.06
Tébessa,2021/7/9,28.79,43.81
Tébessa,2021/7/10,30.67,31.44
Tébessa,2021/7/11,28.45,31.5
Tébessa,2021/7/12,31.59,24.69
Tébessa,2021/7/13,29.39,35.44
Tébessa,2021/7/14,23.9,52.94
Tébessa,2021/7/15,26.13,42.69
Tébessa,2021/7/16,24.13,49.94
Tébessa,2021/7/17,22.08,54.0
Tébessa,2021/7/18,21.9,56.56
Tébessa,2021/7/19,23.12,49.88
Tébessa,2021/7/20,25.69,44.69
Tébessa,2021/7/21,26.5,42.69
Tébessa,2021/7/22,26.23,36.19
Tébessa,2021/7/23,27.99,32.44
Tébessa,2021/7/24,29.88,26.5
Tébessa,2021/7/25,30.92,23.62
Tébessa,2021/7/26,29.4,20.75
Tébessa,2021/7/27,28.34,25.75
Tébessa,2021/7/28,29.63,22.56
Tébessa,2021/7/29,31.29,23.56
Tébessa,2021/7/30,32.04,21.62
Tébessa,2021/7/31,32.4,21.06

Tlemcen,2021/7/1,25.58,55.75
Tlemcen,2021/7/2,28.16,42.44
Tlemcen,2021/7/3,28.99,36.62
Tlemcen,2021/7/4,28.01,31.5
Tlemcen,2021/7/5,29.7,30.75
Tlemcen,2021/7/6,27.81,36.5
Tlemcen,2021/7/7,25.22,45.19
Tlemcen,2021/7/8,25.65,41.88
Tlemcen,2021/7/9,27.84,54.0
Tlemcen,2021/7/10,31.67,29.19
Tlemcen,2021/7/11,33.53,21.81
Tlemcen,2021/7/12,29.97,33.44
Tlemcen,2021/7/13,24.34,40.62
Tlemcen,2021/7/14,25.05,46.25
Tlemcen,2021/7/15,25.08,52.25
Tlemcen,2021/7/16,25.44,58.25
Tlemcen,2021/7/17,27.98,46.0
Tlemcen,2021/7/18,26.05,51.62
Tlemcen,2021/7/19,25.46,47.75
Tlemcen,2021/7/20,25.96,50.75
Tlemcen,2021/7/21,28.42,46.81
Tlemcen,2021/7/22,28.99,47.31
Tlemcen,2021/7/23,32.51,36.94
Tlemcen,2021/7/24,30.43,37.81
Tlemcen,2021/7/25,27.7,37.31
Tlemcen,2021/7/26,24.4,52.31
Tlemcen,2021/7/27,26.11,54.62
Tlemcen,2021/7/28,27.26,56.38
Tlemcen,2021/7/29,29.46,51.19
Tlemcen,2021/7/30,32.31,36.62
Tlemcen,2021/7/31,27.49,40.94

Tiaret,2021/7/1,26.58,50.62
Tiaret,2021/7/2,28.08,41.19
Tiaret,2021/7/3,29.95,31.88
Tiaret,2021/7/4,28.76,27.56
Tiaret,2021/7/5,30.18,26.25
Tiaret,2021/7/6,29.33,30.19
Tiaret,2021/7/7,26.73,39.62
Tiaret,2021/7/8,26.69,50.94
Tiaret,2021/7/9,30.21,43.88
Tiaret,2021/7/10,31.32,31.88
Tiaret,2021/7/11,33.94,25.75
Tiaret,2021/7/12,30.0,31.25
Tiaret,2021/7/13,25.6,40.25
Tiaret,2021/7/14,25.36,45.88
Tiaret,2021/7/15,27.56,41.31
Tiaret,2021/7/16,27.12,42.12
Tiaret,2021/7/17,29.42,29.81
Tiaret,2021/7/18,27.08,39.94
Tiaret,2021/7/19,27.19,37.56
Tiaret,2021/7/20,27.61,42.31
Tiaret,2021/7/21,30.15,29.31
Tiaret,2021/7/22,30.19,30.5
Tiaret,2021/7/23,32.75,24.31
Tiaret,2021/7/24,33.15,23.12
Tiaret,2021/7/25,29.3,27.5
Tiaret,2021/7/26,25.69,43.19
Tiaret,2021/7/27,27.62,50.56
Tiaret,2021/7/28,29.81,34.0
Tiaret,2021/7/29,29.4,38.0
Tiaret,2021/7/30,33.94,26.06
Tiaret,2021/7/31,29.65,31.25

Tizi Ouzou,2021/7/1,27.26,50.44
Tizi Ouzou,2021/7/2,28.12,46.5
Tizi Ouzou,2021/7/3,29.99,39.56
Tizi Ouzou,2021/7/4,29.9,31.31
Tizi Ouzou,2021/7/5,30.88,27.0
Tizi Ouzou,2021/7/6,31.87,28.31
Tizi Ouzou,2021/7/7,28.97,37.5
Tizi Ouzou,2021/7/8,26.14,62.19
Tizi Ouzou,2021/7/9,27.99,53.25
Tizi Ouzou,2021/7/10,29.65,44.44
Tizi Ouzou,2021/7/11,33.81,28.69
Tizi Ouzou,2021/7/12,33.33,24.94
Tizi Ouzou,2021/7/13,26.09,54.69
Tizi Ouzou,2021/7/14,23.74,55.81
Tizi Ouzou,2021/7/15,25.58,57.12
Tizi Ouzou,2021/7/16,24.68,52.56
Tizi Ouzou,2021/7/17,26.3,38.81
Tizi Ouzou,2021/7/18,27.26,37.31
Tizi Ouzou,2021/7/19,26.57,43.44
Tizi Ouzou,2021/7/20,27.04,47.06
Tizi Ouzou,2021/7/21,29.73,31.62
Tizi Ouzou,2021/7/22,31.42,29.06
Tizi Ouzou,2021/7/23,32.38,26.25
Tizi Ouzou,2021/7/24,34.75,22.62
Tizi Ouzou,2021/7/25,32.28,28.56
Tizi Ouzou,2021/7/26,28.27,45.62
Tizi Ouzou,2021/7/27,28.64,50.56
Tizi Ouzou,2021/7/28,30.24,36.06
Tizi Ouzou,2021/7/29,31.22,32.69
Tizi Ouzou,2021/7/30,33.15,26.25
Tizi Ouzou,2021/7/31,32.93,28.31

Alger,2021/7/1,23.8,79.25
Alger,2021/7/2,23.79,83.88
Alger,2021/7/3,24.9,73.81
Alger,2021/7/4,25.39,69.31
Alger,2021/7/5,26.28,61.44
Alger,2021/7/6,26.32,66.19
Alger,2021/7/7,25.73,72.56
Alger,2021/7/8,24.68,86.69
Alger,2021/7/9,24.78,76.5
Alger,2021/7/10,25.09,76.62
Alger,2021/7/11,27.16,65.56
Alger,2021/7/12,27.35,63.06
Alger,2021/7/13,24.97,75.94
Alger,2021/7/14,24.28,67.38
Alger,2021/7/15,24.37,74.25
Alger,2021/7/16,24.38,70.62
Alger,2021/7/17,25.01,66.75
Alger,2021/7/18,25.4,68.31
Alger,2021/7/19,25.28,72.56
Alger,2021/7/20,25.63,73.44
Alger,2021/7/21,26.88,64.75
Alger,2021/7/22,27.19,63.88
Alger,2021/7/23,27.34,66.88
Alger,2021/7/24,28.89,59.19
Alger,2021/7/25,26.97,71.44
Alger,2021/7/26,25.48,75.94
Alger,2021/7/27,25.37,82.12
Alger,2021/7/28,25.87,83.44
Alger,2021/7/29,26.89,78.94
Alger,2021/7/30,27.33,75.31
Alger,2021/7/31,28.55,63.06

Djelfa,2021/7/1,32.69,19.81
Djelfa,2021/7/2,32.51,21.31
Djelfa,2021/7/3,33.12,17.19
Djelfa,2021/7/4,32.51,19.0
Djelfa,2021/7/5,32.82,15.81
Djelfa,2021/7/6,33.8,14.06
Djelfa,2021/7/7,31.32,21.81
